material,phase,temperature,property,value,units,source
MeOH,liquid,25,dynamic viscosity,0.538,mPa.s,
H2O,liquid,25,dynamic viscosity,0.913,mPa.s,
Sulfolane,liquid,25,dynamic viscosity,10.07,mPa.s,
THF,liquid,25,dynamic viscosity,0.456,mPa.s,
THF,liquid,25,density,879.9600323,kg/m3,
MeOH,liquid,25,density,789.6074669,kg/m3,
H2O,liquid,25,density,996.9975213,kg/m3,
Sulfolane,liquid,25,density,1261,kg/m3,
H2O,liquid,25,surface tension,0.072118285,N/m,
MeOH,liquid,25,surface tension,0.022221584,N/m,
THF,liquid,25,surface tension,0.026694802,N/m,
Sulfolane,liquid,25,surface tension,0.0355,N/m,
Pd/C,solid,25,density,2600,kg/m3,
Other,,,,,,
