owner,reactor,property,units,value,source
Cambrex,R-3156,Internal Diameter,m,1.3716,
Cambrex,R-3156,Height (tan-tan),m,3.048,
Cambrex,R-3156,Bottom Dish Type,-,ASME 2:1 Elliptical,
Cambrex,R-3156,Impeller Count,#,3,
Cambrex,R-3156,Top Dish Type,-,ASME 2:1 Elliptical,
Cambrex,R-3156,Agitation Min,rpm,30,
Cambrex,R-3156,Agitation Max,rpm,88,
Cambrex,R-3156,Impeller 1 Diameter,m,0.762,
Cambrex,R-3156,Impeller 1 Clearance,m,0.1905,
Cambrex,R-3156,Impeller 1 Height,m,0.254,
Cambrex,R-3156,Impeller 2 Diameter,m,0.762,
Cambrex,R-3156,Impeller 2 Clearance,m,1.3335,
Cambrex,R-3156,Impeller 2 Height,m,0.254,
Cambrex,R-3156,Impeller 3 Diameter,m,0.762,
Cambrex,R-3156,Impeller 3 Clearance,m,2.4675,
Cambrex,R-3156,Impeller 3 Height,m,0.254,
Cambrex,R-3156,Zwietering S parameter,-,6.4,1
Cambrex,R-3156,GMB z parameter,-,1.53,
Cambrex,R-3156,Volume Min,L,777,
Cambrex,R-3156,Volume Max,L,4154,
Cambrex,R-3156,Impeller 1 Np,-,0.72,1
Cambrex,R-3156,Impeller 2 Np,-,0.72,1
Cambrex,R-3156,Impeller 3 Np,-,0.72,1
Cambrex,R-3156,Scale,-,commercial,
Nalas,20-L,Internal Diameter,m,0.276,
Nalas,20-L,Outside Diameter,m,0.286,
Nalas,20-L,Height (tan-tan),m,0.381,
Nalas,20-L,Bottom Dish Type,-,DIN Torispherical,
Nalas,20-L,Impeller Count,#,1,
Nalas,20-L,Top Dish Type,-,Flat,
Nalas,20-L,Agitation Min,rpm,10,
Nalas,20-L,Agitation Max,rpm,2000,
Nalas,20-L,Impeller 1 Diameter,m,0.0746,
Nalas,20-L,Wall Thickness,mm,5,
Nalas,20-L,Impeller 1 Clearance,m,0.1102,
Nalas,20-L,Scale,-,pilot,
Takeda,1.6 L PolyClave,Internal Diameter,m,0.082,
Takeda,1.6 L PolyClave,Height (tan-tan),m,0.276,
Takeda,1.6 L PolyClave,Bottom Dish Type,-,Hemispherical,
Takeda,1.6 L PolyClave,Impeller Count,#,1,
Takeda,1.6 L PolyClave,Top Dish Type,-,Flat,
Takeda,1.6 L PolyClave,Agitation Min,rpm,10,
Takeda,1.6 L PolyClave,Agitation Max,rpm,2000,
Takeda,1.6 L PolyClave,Impeller 1 Diameter,m,0.066,
Takeda,1.6 L PolyClave,Scale,-,lab,
Nalas,5-L,Internal Diameter,m,0.148,
Nalas,5-L,Outside Diameter,m,0.158,
Nalas,5-L,Height (tan-tan),m,0.3016,
Nalas,5-L,Bottom Dish Type,-,DIN Torispherical,
Nalas,5-L,Impeller Count,#,1,
Nalas,5-L,Top Dish Type,-,Flat,
Nalas,5-L,Agitation Min,rpm,10,
Nalas,5-L,Agitation Max,rpm,2000,
Nalas,5-L,Impeller 1 Diameter,m,0.051,
Nalas,5-L,Impeller 1 Clearance,m,0.05,
Nalas,5-L,Impeller 1 Height,m,0.0143,
Nalas,5-L,Wall Thickness,mm,5,
Nalas,5-L,Zwietering S parameter,-,1.44,
Nalas,5-L,GMB z parameter,-,1.53,
Nalas,5-L,Scale,-,lab,
Takeda,EasyMax 102 Pressure,Internal Diameter,m,0.052,
Takeda,EasyMax 102 Pressure,Height (tan-tan),m,0.088,
Takeda,EasyMax 102 Pressure,Bottom Dish Type,-,Torispherical,
Takeda,EasyMax 102 Pressure,Impeller Count,#,1,
Takeda,EasyMax 102 Pressure,Top Dish Type,-,Flat,
Takeda,EasyMax 102 Pressure,Agitation Min,rpm,50,
Takeda,EasyMax 102 Pressure,Agitation Max,rpm,1000,
Takeda,EasyMax 102 Pressure,Impeller 1 Diameter,m,0.03,
Takeda,EasyMax 102 Pressure,Impeller 1 Clearance,m,0.0101,
Takeda,EasyMax 102 Pressure,Impeller 1 Height,m,0.0088,
Takeda,EasyMax 102 Pressure,Volume Min,L,0.033,
Takeda,EasyMax 102 Pressure,Volume Max,L,0.18,
Takeda,EasyMax 102 Pressure,Zwietering S parameter,-,3.74,
Takeda,EasyMax 102 Pressure,GMB z parameter,-,1.53,
Takeda,EasyMax 102 Pressure,Wall Thickness,mm,3,0
Takeda,EasyMax 102 Pressure,Outside Diameter,m,0.058,
Takeda,EasyMax 102 Pressure,Impeller 1 Np,-,1.3,
Takeda,EasyMax 102 Pressure,Knuckle Radius,m,0.00312,
Takeda,EasyMax 102 Pressure,Scale,-,lab,
Nalas,EasyMax 102,Knuckle Radius,m,0.00312,
Nalas,EasyMax 102,Internal Diameter,m,0.052,
Nalas,EasyMax 102,Height (tan-tan),m,0.088,
Nalas,EasyMax 102,Bottom Dish Type,-,Torispherical,0
Nalas,EasyMax 102,Impeller Count,#,1,
Nalas,EasyMax 102,Top Dish Type,-,Flat,
Nalas,EasyMax 102,Agitation Min,rpm,50,
Nalas,EasyMax 102,Agitation Max,rpm,1000,
Nalas,EasyMax 102,Impeller 1 Diameter,m,0.03,
Nalas,EasyMax 102,Impeller 1 Clearance,m,0.0101,
Nalas,EasyMax 102,Impeller 1 Height,m,0.0088,
Nalas,EasyMax 102,Impeller 1 Type,-,Radial Gassing,
Nalas,EasyMax 102,Impeller 1 Np,-,1.3,
Nalas,EasyMax 102,Volume Min,L,0.033,
Nalas,EasyMax 102,Volume Max,L,0.18,
Nalas,EasyMax 102,Zwietering S parameter,-,3.74,
Nalas,EasyMax 102,GMB z parameter,-,1.53,
Nalas,EasyMax 102,Wall Thickness,mm,2,0
Nalas,EasyMax 102,Outside Diameter,m,0.056,
Nalas,EasyMax 102,Scale,-,lab,
Cambrex,R-3156 Mod,Internal Diameter,m,1.3716,
Cambrex,R-3156 Mod,Height (tan-tan),m,3.048,
Cambrex,R-3156 Mod,Bottom Dish Type,-,ASME 2:1 Elliptical,
Cambrex,R-3156 Mod,Impeller Count,#,3,
Cambrex,R-3156 Mod,Top Dish Type,-,ASME 2:1 Elliptical,
Cambrex,R-3156 Mod,Agitation Min,rpm,30,
Cambrex,R-3156 Mod,Agitation Max,rpm,88,
Cambrex,R-3156 Mod,Impeller 1 Diameter,m,0.762,
Cambrex,R-3156 Mod,Impeller 1 Clearance,m,0.478,
Cambrex,R-3156 Mod,Impeller 1 Height,m,0.254,
Cambrex,R-3156 Mod,Impeller 2 Diameter,m,0.762,
Cambrex,R-3156 Mod,Impeller 2 Clearance,m,1.208,
Cambrex,R-3156 Mod,Impeller 2 Height,m,0.254,
Cambrex,R-3156 Mod,Impeller 3 Diameter,m,0.762,
Cambrex,R-3156 Mod,Impeller 3 Clearance,m,1.891,
Cambrex,R-3156 Mod,Impeller 3 Height,m,0.254,
Cambrex,R-3156 Mod,Zwietering S parameter,-,6.4,1
Cambrex,R-3156 Mod,GMB z parameter,-,1.53,
Cambrex,R-3156 Mod,Volume Min,L,777,
Cambrex,R-3156 Mod,Volume Max,L,4154,
Cambrex,R-3156 Mod,Impeller 1 Np,-,0.72,1
